Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE61267,"Genome-wide Definition of Promoter and Enhancer Usage During Neural Induction of Human Embryonic Stem Cells","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by array","Homo sapiens",10,,"BED;CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61267/suppl",25978676,,"Silvio Bicciato","May 21, 2015"
GSE66357,"Scalable Microfluidics for Single Cell RNA Printing and Sequencing","Expression profiling by high throughput sequencing","Homo sapiens",643,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66357/suppl",26047807,SRP055569,"Peter A Sims","May 21, 2015"
GSE68042,"8p Loss of Heterozygosity triggers metastasis and drug resistance","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68042/suppl",,SRP057448,"Anna Sablina","May 21, 2015"
GSE59066,"RNA-seq transcriptomic analysis of sarcomatoid (E/S), rhabdoid (E/R) and non-sarcomatoid (E*) clear cell renal cell carcinoma","Expression profiling by high throughput sequencing","Homo sapiens",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59066/suppl",27499906,SRP044042,"Horatiu Voicu","May 20, 2015"
GSE63269,"Drop-Seq analysis of mixtures of human (HEK) and mouse (3T3) cells (1000/100 STAMPs) at 50 cells per microliter","Expression profiling by high throughput sequencing;Other","Homo sapiens;Mus musculus",2,,"BAM;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63269/suppl",26000488,SRP049775,"Evan Macosko","May 20, 2015"
GSE63473,"Highly parallel genome-wide expression profiling of individual cells using nanoliter droplets","Expression profiling by high throughput sequencing;Other","Homo sapiens;Mus musculus;synthetic construct",203,,"BAM;FASTA;GTF;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63473/suppl",26000488,,"Evan Macosko","May 20, 2015"
GSE65525,"Droplet barcoding for single cell transcriptomics applied to embryonic stem cells","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",8,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65525/suppl",26000487,SRP053052,"Allon M Klein","May 20, 2015"
GSE66693,"Drop-Seq analysis of mixtures of human (HEK) and mouse (3T3) cells (1000/100 STAMPs) at 12.5 cells per microliter","Expression profiling by high throughput sequencing;Other","Homo sapiens;Mus musculus",1,,"BAM;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66693/suppl",26000488,SRP056000,"Evan Macosko","May 20, 2015"
GSE67835,"A survey of human brain transcriptome diversity at the single cell level","Expression profiling by high throughput sequencing","Homo sapiens",466,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67835/suppl",26060301,SRP057196,"Martin Enge","May 20, 2015"
GSE69021,"Gene target specificity of the Super Elongation Complex (SEC) family: How HIV-1 Tat employs selected SEC members to activate viral transcription","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69021/suppl",26007649,SRP058479,"Qiang Zhou","May 20, 2015"
GSE45510,"Stratification of Leiomyosarcoma molecular subtypes by 3' end RNA-sequencing: Toward precision medicine","Expression profiling by high throughput sequencing","Homo sapiens",99,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45510/suppl",25896974;26240788,SRP019994,"Xiangqian Guo","May 19, 2015"
GSE53844,"Undifferentiated pleomorphic sarcoma recapitulates the expressional profile of Subtype II Leiomyosarcoma","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53844/suppl",25896974,SRP034953,"Xiangqian Guo","May 19, 2015"
GSE54511,"Different molecular pathways along with pathogenesis of three subtypes of Leiomyosarcoma","Expression profiling by high throughput sequencing","Homo sapiens",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54511/suppl",25896974,SRP036053,"Xiangqian Guo","May 19, 2015"
GSE60585,"Integrator complex regulates NELF-mediated RNA Polymerase II pause/release and processivity at coding genes [RNA-seq]","Expression profiling by high throughput sequencing","Homo sapiens",18,,"XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60585/suppl",25410209,SRP045663,"Olivier Cuvier","May 19, 2015"
GSE60586,"Integrator complex regulates NELF-mediated RNA Polymerase II pause/release and processivity at coding genes.","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",35,,,,25410209,,"Olivier Cuvier","May 19, 2015"
GSE68452,"Role of cervicovaginal microbiota in genital inflammation","Expression profiling by high throughput sequencing","Homo sapiens",32,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68452/suppl",25992865,SRP057852,"Melis Anahtar","May 19, 2015"
GSE55939,"Human germ cell formation in xenotransplants of induced pluripotent stem cells carrying X chromosome aneuploidies","Expression profiling by high throughput sequencing","Homo sapiens",13,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55939/suppl",25242416,SRP040145,"HyoJin Rosaria Chiang","May 18, 2015"
GSE66763,"Functional Inflammatory Profiles Distinguish Myelin-Reactive T Cells from Patients with Multiple Sclerosis","Expression profiling by high throughput sequencing","Homo sapiens",16,,"GTF;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66763/suppl",25972006,SRP056049,"Charles Arthur Whittaker","May 18, 2015"
GSE68987,"RNA sequencing analysis of miR-603 overexpression","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68987/suppl",,SRP058445,"jin fan","May 18, 2015"
GSE67939,"A microfluidic device for label-free, physical capture of circulating tumor cell-clusters","Expression profiling by high throughput sequencing","Homo sapiens",17,,"TXT;XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67939/suppl",25984697,SRP057212,"Ben S. Wittner","May 17, 2015"
GSE68813,"Argonaute 2 binds directly to tRNA genes and promotes gene repression in cis","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",11,,"BED;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68813/suppl",25918241;27288410,SRP058300,"keith e giles","May 17, 2015"
GSE47157,"Shear Stress and NOTCH1 Regulate Calcification Related Genes in Human Aortic Valve Endothelium (RNA-Seq)","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47157/suppl",,SRP022953,"Deepak Srivastava","May 16, 2015"
GSE47160,"Shear Stress and NOTCH1 Regulate Calcification Related Genes in Human Aortic Valve Endothelium","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,,,,,"Deepak Srivastava","May 16, 2015"
GSE68925,"RNAi profiling of primary human AML cells identifies ROCK1 as a therapeutic target and nominates Fasudil as an anti-leukemic drug.","Expression profiling by high throughput sequencing;Genome variation profiling by high throughput sequencing;Other","Homo sapiens",10,,"TXT;VCF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68925/suppl",25931586,SRP058383,"Maciej Paszkowski-Rogacz","May 16, 2015"
GSE54968,"Transcriptomic analysis reveals novel long non-coding RNAs critical for vertebrate development [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54968/suppl",25739401,SRP037762,"Christopher Benner","May 15, 2015"
GSE54969,"Transcriptomic analysis reveals novel long non-coding RNAs critical for vertebrate development","Expression profiling by array;Expression profiling by high throughput sequencing;Methylation profiling by genome tiling array","Homo sapiens",20,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54969/suppl",25739401,,"Christopher Benner","May 15, 2015"
GSE52285,"A Werner syndrome stem cell model unveils heterochromatin alterations as a driver of human aging","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",22,,"BED;BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52285/suppl",25931448,SRP032942,"Jingyi Li","May 13, 2015"
GSE68795,"Reprogrammed myeloid cell transcriptomes in NSCLC","Expression profiling by high throughput sequencing","Homo sapiens",17,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68795/suppl",26046767,SRP058237,"Dingcheng Gao","May 13, 2015"
GSE61730,"Transcriptome data of interacting Salmonella Typhimurium and human host cells","Expression profiling by high throughput sequencing","Homo sapiens;Salmonella enterica",12,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61730/suppl",25927313,SRP047460,"Fabian Afonso-Grunz","May 12, 2015"
GSE62913,"Genome wide transcript and miRNAanalysis of invitro and in-vivo  generated human cardiac samples","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",30,,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62913/suppl",25964336,SRP049449,"Hannele Ruohola-Baker","May 12, 2015"
GSE65349,"SRSF2 mutations impair hematopoiesis and alter exon recognition","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",14,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65349/suppl",25965569,SRP052874,"Janine O Ilagan","May 12, 2015"
GSE66755,"CRISPR Display: A modular method for locus-specific targeting of long noncoding RNAs and synthetic RNA devices in vivo [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66755/suppl",26030444,SRP056086,"Scott T Younger","May 11, 2015"
GSE66756,"CRISPR Display: A modular method for locus-specific targeting of long noncoding RNAs and synthetic RNA devices in vivo","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",17,,,,26030444,,"Scott T Younger","May 11, 2015"
GSE57503,"Evaluation of RNA amplification and RNA-Seq library preparation protocols for spermatozoa RNA profiling","Expression profiling by high throughput sequencing","Homo sapiens",16,,"BED;XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57503/suppl",25077492,SRP041833,"Stephen Krawetz","May 09, 2015"
GSE66383,"Disruptions of Topological Chromatin Domains Causes Pathogenic Rewiring of Gene-Enhancer Interactions","Expression profiling by high throughput sequencing;Other","Homo sapiens;Mus musculus",31,,"BEDGRAPH;BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66383/suppl",25959774,,"Darío G Lupiáñez","May 08, 2015"
GSE67945,"Investigation about fibroblasts of different origins in culture","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67945/suppl",25973543,SRP057251,"Rüegg Curzio","May 08, 2015"
GSE65253,"Prospective derivation of a 'Living Organoid Biobank' of colorectal cancer patients","Expression profiling by high throughput sequencing","Homo sapiens",108,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65253/suppl",25957691,SRP052795,"Lennart Kester","May 07, 2015"
GSE66014,"Global Gene Expression analysis of CUTLL1 cell lines after treatment with Perhexiline","Expression profiling by high throughput sequencing","Homo sapiens",6,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66014/suppl",25784680,SRP055108,"Alberto Ambesi-Impiombato","May 07, 2015"
GSE68102,"Multiplex Single Cell Profiling of Chromatin Accessibility by Combinatorial Cellular Indexing [RNA-seq]","Expression profiling by high throughput sequencing","Homo sapiens",6,,"DIFF;FPKM_TRACKING;GFF;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68102/suppl",25953818,SRP057508,"Darren A. Cusanovich","May 07, 2015"
GSE68103,"Multiplex Single Cell Profiling of Chromatin Accessibility by Combinatorial Cellular Indexing","Other;Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68103/suppl",25953818,,"Darren A. Cusanovich","May 07, 2015"
GSE53133,"Composite macroH2A/NRF-1 Nucleosomes Suppress Noise and Generate Robustness in Gene Expression","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",10,,"BED;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53133/suppl",25959814,SRP033612,"Dimitris Thanos","May 06, 2015"
GSE60603,"An alternative pluripotent state confers interspecies chimaeric competency [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens;Macaca mulatta;Mus musculus;Pan troglodytes",14,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60603/suppl",25945737,SRP045673,"Christopher Benner","May 06, 2015"
GSE60605,"An alternative pluripotent state confers interspecies chimaeric competency","Expression profiling by array;Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens;Macaca mulatta;Mus musculus;Pan troglodytes",42,,"BIGWIG;CEL;TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60605/suppl",25945737,,"Christopher Benner","May 06, 2015"
GSE60012,"Gender-specific post-natal demethylation and establishment of epigenetic memory","Expression profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens;Mus musculus",173,,"BED;DIFF;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60012/suppl",25934504,SRP045179,"Howard Cedar","May 03, 2015"
GSE57803,"Gene Expression Signature in Adipose Tissue of Acromegaly Patients","Expression profiling by high throughput sequencing","Homo sapiens",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57803/suppl",26087292,SRP042086,"Quynh Tran","May 01, 2015"
GSE59822,"Transcription factor p63 bookmarks genomic loci in epithelial cells and regulates a subset of target genes during epidermal differentiation through dynamic enhancers (RNA-Seq)","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59822/suppl",26034101;26484246,SRP044925,"Jo Huiqing Zhou","May 01, 2015"
GSE59827,"Transcription factor p63 bookmarks genomic loci in epithelial cells and regulates a subset of target genes during epidermal differentiation through dynamic enhancers","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",21,,"TXT;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59827/suppl",26034101;26484246,,"Jo Huiqing Zhou","May 01, 2015"
GSE64912,"RNA-Sequencing of human papillary thyroid carcinomas","Expression profiling by high throughput sequencing","Homo sapiens",22,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64912/suppl",25803323,SRP052056,"Valerio Costa","May 01, 2015"
GSE66186,"smRNA sequencing analysis to identify p53-dependent non-coding RNA networks in Chronic Lymphocytic Leukemia","Non-coding RNA profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",70,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66186/suppl",25971364,SRP055415,"Thorsten Zenz","May 01, 2015"
GSE67240,"Study the effect of SUZ12 on the responsiveness of IFNg target genes in multiple cancer and non cancer cell lines","Expression profiling by high throughput sequencing","Homo sapiens",44,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67240/suppl",26030458,SRP056498,"Rod Bremner","May 01, 2015"
GSE67628,"The effect of SUZ12 knockdown on the responsivness of IFNg Stimulated Genes","Expression profiling by high throughput sequencing","Homo sapiens",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67628/suppl",26030458,,"Rod Bremner","May 01, 2015"
GSE67766,"Cancer Cells Hijack PRC2 to Modify Multiple Cytokine Pathways","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by genome tiling array;Expression profiling by array","Homo sapiens",83,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67766/suppl",26030458,,"Rod Bremner","May 01, 2015"
GSE67070,"Stem cell and neurogenic gene-expression profiles link prostate basal cells to aggressive prostate cancer","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67070/suppl",26924072,SRP056330,"Dingxiao Zhang","Apr 30, 2015"
GSE62518,"IL-33 activates tumor stroma to promote intestinal polyposis","Expression profiling by high throughput sequencing","Homo sapiens",6,,"GTF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62518/suppl",25918379,SRP049061,"Jason Heaney","Apr 29, 2015"
GSE65996,"Comparative genome-wide analysis of human BM IL3Rα-high precursors show a more MΦ-, DC- and OC committed gene expression profile, as compared to IL3Rα-low precursors","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65996/suppl",,SRP055103,"yanling xiao","Apr 28, 2015"
